종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
371160,4,TIGER 차이나항셍테크,8350,5,-15,-0.18,,5.6854,396846,3310,3307,해외 주식,TIGER,False,False,False
332940,1,HANARO MSCI Korea TR,15870,5,-145,-0.91,15923.0,-1.4765,84,1,3095,국내 시장지수,HANARO,False,False,False
143850,4,TIGER 미국S&P500선물(H),54820,2,140,0.26,,5.0024,12151,666,2604,해외 주식,TIGER,False,False,True
357870,7,TIGER CD금리투자KIS(합성),50495,5,-20,-0.04,50499.0,0.2082,133837,6759,2577,기타,TIGER,False,False,False
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),19370,5,-155,-0.79,,2.3591,25902,501,2557,해외 주식,TIGER,False,False,True
385550,6,KBSTAR KIS단기종합채권(AA-이상)액티브,100155,3,0,0.0,100145.0,0.1199,5,0,2554,채권,KBSTAR,False,False,False
272560,6,KBSTAR 단기국공채액티브,102230,3,0,0.0,102226.0,0.0783,149922,15323,2535,채권,KBSTAR,False,False,False
148070,6,KOSEF 국고채10년,117875,5,-15,-0.01,117899.0,-3.7162,5022,591,2452,채권,KOSEF,False,False,False
091160,2,KODEX 반도체,36850,5,-605,-1.62,36866.0,7.7066,249149,9205,2451,국내 업종/테마,KODEX,False,False,False
295040,1,SOL 200TR,13470,5,-75,-0.55,13483.0,-1.9899,159479,2147,2445,국내 시장지수,SOL,False,False,False
108450,2,KINDEX 삼성그룹섹터가중,16320,5,-170,-1.03,16368.0,-4.3226,174,2,2415,국내 업종/테마,KINDEX,False,False,False
192090,4,TIGER 차이나CSI300,12120,2,60,0.5,,4.5967,141625,1710,2351,해외 주식,TIGER,False,False,False
245710,4,KINDEX 베트남VN30(합성),23520,2,385,1.66,,7.4796,95082,2224,2305,해외 주식,KINDEX,False,False,False
132030,5,KODEX 골드선물(H),12135,5,-75,-0.61,,0.909,116171,1407,2245,원자재,KODEX,False,False,True
168580,4,KINDEX 중국본토CSI300,32085,5,-220,-0.68,,4.9545,887,28,2214,해외 주식,KINDEX,False,False,False
161510,2,ARIRANG 고배당주,12490,2,40,0.32,12505.0,2.935,36630,458,2125,국내 업종/테마,ARIRANG,False,False,False
326240,2,KBSTAR IT플러스,22530,5,-100,-0.44,22539.0,3.1684,49714,1117,2100,국내 업종/테마,KBSTAR,False,False,False
379810,4,KODEX 미국나스닥100TR,12750,5,-35,-0.27,,9.2735,445464,5679,2066,해외 주식,KODEX,False,False,False
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,12095,5,-100,-0.82,,17.1469,257500,3119,2037,해외 주식,TIGER,False,False,False
332930,1,HANARO 200TR,47035,5,-300,-0.63,47115.0,-1.9777,85,4,2023,국내 시장지수,HANARO,False,False,False
329750,6,TIGER 미국달러단기채권액티브,10175,3,0,0.0,,1.1934,38032,387,1940,채권,TIGER,False,False,False
379800,4,KODEX 미국S&P500TR,12265,2,10,0.08,,6.6579,187015,2297,1938,해외 주식,KODEX,False,False,False
